Sample	concordance_below_80	fail_parentage_test	reason	replicated	swap_sample	discard_sample	NewSampleName
20178501	0	0	UNKNOWN	NA	NA	1	20178501
20178502	1	0	Fail_Agilent_QC_metrics	NA	NA	1	20178502
20178503	0	1	UNKNOWN	NA	NA	1	20178503
20178504	0	1	UNKNOWN	NA	NA	1	20178504
21167201	0	0	UNKNOWN	NA	NA	1	21167201
21167202	0	0	UNKNOWN	NA	NA	1	21167202
21167203	1	1	Fail_Agilent_QC_metrics	NA	NA	1	21167203
21167204	1	1	Fail_Agilent_QC_metrics	NA	NA	1	21167204
26658801	1	0	Fail_Agilent_QC_metrics	NA	NA	1	26658801
26658802	0	0	UNKNOWN	NA	NA	1	26658802
26658803	0	1	UNKNOWN	NA	NA	1	26658803
26658804	0	1	UNKNOWN	NA	NA	1	26658804
28934001	0	0	UNKNOWN	NA	NA	0	28934001
28934002	0	0	UNKNOWN	NA	NA	0	28934002
28934003	1	1	Repeated_sample	28934002	NA	1	28934003
28934004	1	0	UNKNOWN	NA	NA	0	28934003
29767401	1	0	Fail_Agilent_QC_metrics	NA	NA	1	29767401
29767402	0	0	UNKNOWN	NA	NA	1	29767402
29767403	0	1	UNKNOWN	NA	NA	1	29767403
29767404	0	1	UNKNOWN	NA	NA	1	29767404
29887601	1	0	UNKNOWN	NA	NA	1	29887601
29887602	1	0	UNKNOWN	NA	NA	1	29887602
29887603	1	1	UNKNOWN	NA	NA	1	29887603
29887604	1	1	UNKNOWN	NA	NA	1	29887604
40717103	1	0	Sample_swap	NA	40717104	0	40717104
40717104	1	0	Sample_swap	NA	40717103	0	40717103
41002901	0	0	UNKNOWN	NA	NA	0	41002901
41002902	1	0	Sample_swap	NA	41002903	0	41002903
41002903	1	1	Sample_swap	NA	41002902	0	41002902
41002904	0	1	UNKNOWN	NA	NA	0	41002904
54664403	1	0	UNKNOWN	NA	NA	1	54664403
