#sampleid	Slide_Barcode	Location_on_Slide
23553803	253302210104	1_1
23553804	253302210104	1_2
23553801	253302210104	1_3
23553802	253302210104	1_4
22740202	253302210104	2_1
22740203	253302210104	2_2
22740204	253302210104	2_3
22740201	253302210104	2_4
26700401	253302210105	1_1
26700402	253302210105	1_2
26700403	253302210105	1_3
26700404	253302210105	1_4
29887601	253302210105	2_1
29887602	253302210105	2_2
29887603	253302210105	2_3
29887604	253302210105	2_4
28934003	253302210107	1_1
28934004	253302210107	1_2
28934001	253302210107	1_3
28934002	253302210107	1_4
24865202	253302210107	2_1
24865203	253302210107	2_2
24865204	253302210107	2_3
24865201	253302210107	2_4
56289201	253302210108	1_1
56289202	253302210108	1_2
56289203	253302210108	1_3
56289204	253302210108	1_4
55577001	253302210108	2_1
55577002	253302210108	2_2
55577003	253302210108	2_3
55577004	253302210108	2_4
50074802	253302210109	1_1
50074803	253302210109	1_2
50074804	253302210109	1_3
50074801	253302210109	1_4
51483302	253302210109	2_1
51483303	253302210109	2_2
51483304	253302210109	2_3
51483301	253302210109	2_4
54664401	253302210110	1_1
54664402	253302210110	1_2
54664403	253302210110	1_3
54664404	253302210110	1_4
52013801	253302210110	2_1
52013802	253302210110	2_2
52013804	253302210110	2_3
Promega_Male	253302210110	2_4
47956602	253302210112	1_1
47956603	253302210112	1_2
47956604	253302210112	1_3
47956601	253302210112	1_4
40717104	253302210112	2_1
40717103	253302210112	2_2
40717102	253302210112	2_3
40717101	253302210112	2_4
48153004	253302210113	1_1
48153001	253302210113	1_2
48153002	253302210113	1_3
48153003	253302210113	1_4
46197301	253302210113	2_1
46197302	253302210113	2_2
46197303	253302210113	2_3
46197304	253302210113	2_4
42844003	253302210114	1_1
42844004	253302210114	1_2
42844001	253302210114	1_3
42844002	253302210114	1_4
42537303	253302210114	2_1
42537301	253302210114	2_2
42537302	253302210114	2_3
42537304	253302210114	2_4
14946001	253302210115	1_1
14946002	253302210115	1_2
14946003	253302210115	1_3
14946004	253302210115	1_4
10436701	253302210115	2_1
10436702	253302210115	2_2
10436703	253302210115	2_3
10436704	253302210115	2_4
13726002	253302210116	1_1
13726003	253302210116	1_2
13726004	253302210116	1_3
13726001	253302210116	1_4
11082202	253302210116	2_1
11082203	253302210116	2_2
11082204	253302210116	2_3
11082201	253302210116	2_4
16595202	253302210117	1_1
16595203	253302210117	1_2
16595201	253302210117	1_3
16595204	253302210117	1_4
10845001	253302210117	2_1
10845002	253302210117	2_2
10845004	253302210117	2_3
Promega_Male	253302210117	2_4
53282204	253302210153	1_1
53282201	253302210153	1_2
53282202	253302210153	1_3
53282203	253302210153	1_4
54823801	253302210153	2_1
54823802	253302210153	2_2
54823803	253302210153	2_3
54823804	253302210153	2_4
55345804	253302210154	1_1
55345801	253302210154	1_2
55345802	253302210154	1_3
55345803	253302210154	1_4
57086201	253302210154	2_1
57086202	253302210154	2_2
57086203	253302210154	2_3
57086204	253302210154	2_4
57462904	253302210155	1_1
57462901	253302210155	1_2
57462902	253302210155	1_3
57462903	253302210155	1_4
52272202	253302210155	2_1
52272203	253302210155	2_2
52272204	253302210155	2_3
52272201	253302210155	2_4
26234403	253302210156	1_1
26234404	253302210156	1_2
26234401	253302210156	1_3
26234402	253302210156	1_4
28990802	253302210156	2_1
28990803	253302210156	2_2
28990804	253302210156	2_3
28990801	253302210156	2_4
21282603	253302210157	1_1
21282604	253302210157	1_2
21282601	253302210157	1_3
21282602	253302210157	1_4
24489804	253302210157	2_1
24489801	253302210157	2_2
24489802	253302210157	2_3
24489803	253302210157	2_4
24297401	253302210158	1_1
24297402	253302210158	1_2
24297403	253302210158	1_3
24297404	253302210158	1_4
20206702	253302210158	2_1
20206703	253302210158	2_2
20206701	253302210158	2_3
Promega_Male	253302210158	2_4
19093601	253302210159	1_1
19093602	253302210159	1_2
19093603	253302210159	1_3
19093604	253302210159	1_4
15852904	253302210159	2_1
15852901	253302210159	2_2
15852902	253302210159	2_3
15852903	253302210159	2_4
16860602	253302210169	1_1
16860603	253302210169	1_2
16860604	253302210169	1_3
16860601	253302210169	1_4
13605203	253302210169	2_1
13605204	253302210169	2_2
13605201	253302210169	2_3
13605202	253302210169	2_4
12640401	253302210170	1_1
12640402	253302210170	1_2
12640403	253302210170	1_3
12640404	253302210170	1_4
13413101	253302210170	2_1
13413102	253302210170	2_2
13413103	253302210170	2_3
13413104	253302210170	2_4
41192103	253302210171	1_1
41192101	253302210171	1_2
41192104	253302210171	1_3
41192102	253302210171	1_4
42192103	253302210171	2_1
42192101	253302210171	2_2
42192102	253302210171	2_3
42192104	253302210171	2_4
42552104	253302210142	1_1
42552101	253302210142	1_2
42552102	253302210142	1_3
42552103	253302210142	1_4
45994203	253302210142	2_1
45994204	253302210142	2_2
45994201	253302210142	2_3
45994202	253302210142	2_4
46323302	253302210143	1_1
46323301	253302210143	1_2
46323303	253302210143	1_3
46323304	253302210143	1_4
42968902	253302210143	2_1
42968903	253302210143	2_2
42968901	253302210143	2_3
Promega_Male	253302210143	2_4
56016603	253302210144	1_1
56016604	253302210144	1_2
56016601	253302210144	1_3
56016602	253302210144	1_4
55899801	253302210144	2_1
55899802	253302210144	2_2
55899803	253302210144	2_3
55899804	253302210144	2_4
55196104	253302210145	1_1
55196101	253302210145	1_2
55196102	253302210145	1_3
55196103	253302210145	1_4
50653004	253302210145	2_1
50653001	253302210145	2_2
50653002	253302210145	2_3
50653003	253302210145	2_4
57925702	253302210146	1_1
57925703	253302210146	1_2
57925704	253302210146	1_3
57925701	253302210146	1_4
54135301	253302210146	2_1
54135302	253302210146	2_2
54135303	253302210146	2_3
54135304	253302210146	2_4
55143601	253302210147	1_1
55143602	253302210147	1_2
55143603	253302210147	1_3
55143604	253302210147	1_4
54404104	253302210147	2_1
54404101	253302210147	2_2
54404102	253302210147	2_3
54404103	253302210147	2_4
52554804	253302210148	1_1
52554801	253302210148	1_2
52554802	253302210148	1_3
52554803	253302210148	1_4
58712203	253302210148	2_1
58712201	253302210148	2_2
58712202	253302210148	2_3
58712204	253302210148	2_4
58286601	253302210149	1_1
58286603	253302210149	1_2
58286604	253302210149	1_3
58286602	253302210149	1_4
50148802	253302210149	2_1
50148803	253302210149	2_2
50148801	253302210149	2_3
Promega_Male	253302210149	2_4
40694001	253302210150	1_1
40694004	253302210150	1_2
40694002	253302210150	1_3
40694003	253302210150	1_4
44057801	253302210150	2_1
44057802	253302210150	2_2
44057803	253302210150	2_3
44057804	253302210150	2_4
43506901	253302210151	1_1
43506903	253302210151	1_2
43506904	253302210151	1_3
43506902	253302210151	1_4
43980002	253302210151	2_1
43980003	253302210151	2_2
43980004	253302210151	2_3
43980001	253302210151	2_4
44181404	253302210078	1_1
44181401	253302210078	1_2
44181402	253302210078	1_3
44181403	253302210078	1_4
43630501	253302210078	2_1
43630502	253302210078	2_2
43630503	253302210078	2_3
43630504	253302210078	2_4
45925501	253302210079	1_1
45925502	253302210079	1_2
45925503	253302210079	1_3
45925504	253302210079	1_4
44204903	253302210079	2_1
44204904	253302210079	2_2
44204902	253302210079	2_3
44204901	253302210079	2_4
46247704	253302210080	1_1
46247701	253302210080	1_2
46247702	253302210080	1_3
46247703	253302210080	1_4
43522204	253302210080	2_1
43522201	253302210080	2_2
43522202	253302210080	2_3
43522203	253302210080	2_4
49933804	253302210081	1_1
49933803	253302210081	1_2
49933802	253302210081	1_3
49933801	253302210081	1_4
43233401	253302210081	2_1
43233404	253302210081	2_2
43233402	253302210081	2_3
Promega_Male	253302210081	2_4
40473802	253302210082	1_1
40473804	253302210082	1_2
40473801	253302210082	1_3
40473803	253302210082	1_4
43821501	253302210082	2_1
43821504	253302210082	2_2
43821503	253302210082	2_3
43821502	253302210082	2_4
40322604	253302210083	1_1
40322601	253302210083	1_2
40322602	253302210083	1_3
40322603	253302210083	1_4
43131301	253302210083	2_1
43131302	253302210083	2_2
43131303	253302210083	2_3
43131304	253302210083	2_4
48917102	253302210084	1_1
48917103	253302210084	1_2
48917101	253302210084	1_3
48917104	253302210084	1_4
41789803	253302210084	2_1
41789801	253302210084	2_2
41789802	253302210084	2_3
41789804	253302210084	2_4
42390803	253302210085	1_1
42390804	253302210085	1_2
42390801	253302210085	1_3
42390802	253302210085	1_4
48657902	253302210085	2_1
48657903	253302210085	2_2
48657904	253302210085	2_3
